Date,Open,High,Low,Close,Volume
2020-12-18,8.2003,8.2003,8.2003,8.2003,0
2020-12-21,8.2003,8.2003,8.2003,8.2003,0
2020-12-22,8.2003,8.2003,8.2003,8.2003,0
2020-12-23,8.2003,8.2003,8.2003,8.2003,0
2020-12-24,8.2003,8.2003,8.2003,8.2003,0
2020-12-25,8.2003,8.2003,8.2003,8.2003,0
2020-12-28,8.2003,8.2003,8.2003,8.2003,0
2020-12-29,8.2003,8.2003,8.2003,8.2003,0
2020-12-30,8.2003,8.2003,8.2003,8.2003,0
2020-12-31,8.2003,8.2003,8.2003,8.2003,0
2021-01-04,8.2003,8.2003,8.2003,8.2003,0
2021-01-05,8.2003,8.2003,8.2003,8.2003,0
2021-01-06,8.2003,8.2003,8.2003,8.2003,0
2021-01-07,8.2003,8.2003,8.2003,8.2003,0
2021-01-08,8.2003,8.2003,8.2003,8.2003,0
2021-01-11,8.2003,8.2003,8.2003,8.2003,0
2021-01-12,8.2003,8.2003,8.2003,8.2003,0
2021-01-13,8.2003,8.2003,8.2003,8.2003,0
2021-01-14,8.2003,8.2003,8.2003,8.2003,0
2021-01-15,8.2003,8.2003,8.2003,8.2003,0
2021-01-18,8.2003,8.2003,8.2003,8.2003,0
2021-01-19,8.2003,8.2003,8.2003,8.2003,0
2021-01-20,8.2003,8.2003,8.2003,8.2003,0
2021-01-21,8.2003,8.2003,8.2003,8.2003,0
2021-01-22,8.2003,8.2003,8.2003,8.2003,0
2021-01-25,8.2003,8.2003,8.2003,8.2003,0
2021-01-26,8.2003,8.2003,8.2003,8.2003,0
2021-01-27,8.2003,8.2003,8.2003,8.2003,0
2021-01-28,8.2003,8.2003,8.2003,8.2003,0
2021-01-29,8.2003,8.2003,8.2003,8.2003,0
2021-02-01,8.2003,8.2003,8.2003,8.2003,0
2021-02-02,8.2003,8.2003,8.2003,8.2003,0
2021-02-03,8.2003,8.2003,8.2003,8.2003,0
2021-02-04,8.2003,8.2003,8.2003,8.2003,0
2021-02-05,8.2003,8.2003,8.2003,8.2003,0
2021-02-08,8.2003,8.2003,8.2003,8.2003,0
2021-02-09,8.2003,8.2003,8.2003,8.2003,0
2021-02-17,8.2003,8.2003,8.2003,8.2003,0
2021-02-18,8.2003,8.2003,8.2003,8.2003,0
2021-02-19,8.2003,8.2003,8.2003,8.2003,0
2021-02-22,8.2003,8.2003,8.2003,8.2003,0
2021-02-23,8.2003,8.2003,8.2003,8.2003,0
2021-02-24,8.2003,8.2003,8.2003,8.2003,0
2021-02-25,8.2003,8.2003,8.2003,8.2003,0
2021-02-26,8.2003,8.2003,8.2003,8.2003,0
2021-03-01,8.2003,8.2003,8.2003,8.2003,0
2021-03-02,8.2003,8.2003,8.2003,8.2003,0
2021-03-03,8.2003,8.2003,8.2003,8.2003,0
2021-03-04,8.2003,8.2003,8.2003,8.2003,0
2021-03-05,8.2003,8.2003,8.2003,8.2003,0
2021-03-08,8.2003,8.2003,8.2003,8.2003,0
2021-03-09,8.2003,8.2003,8.2003,8.2003,0
2021-03-10,8.2003,8.2003,8.2003,8.2003,0
2021-03-11,8.2003,8.2003,8.2003,8.2003,0
2021-03-12,8.2003,8.2003,8.2003,8.2003,0
2021-03-15,8.2003,8.2003,8.2003,8.2003,0
2021-03-16,8.2003,8.2003,8.2003,8.2003,0
2021-03-17,8.2003,8.2003,8.2003,8.2003,0
2021-03-18,8.2003,8.2003,8.2003,8.2003,0
2021-03-19,8.2003,8.2003,8.2003,8.2003,0
2021-03-22,8.2003,8.2003,8.2003,8.2003,0
2021-03-23,8.2003,8.2003,8.2003,8.2003,0
2021-03-24,8.2003,8.2003,8.2003,8.2003,0
2021-03-25,8.2003,8.2003,8.2003,8.2003,0
2021-03-26,8.2003,8.2003,8.2003,8.2003,0
2021-03-29,8.2003,8.2003,8.2003,8.2003,0
2021-03-30,8.2003,8.2003,8.2003,8.2003,0
2021-03-31,8.2003,8.2003,8.2003,8.2003,0
2021-04-01,8.2003,8.2003,8.2003,8.2003,0
2021-04-02,8.2003,8.2003,8.2003,8.2003,0
2021-04-05,8.2003,8.2003,8.2003,8.2003,0
2021-04-06,8.2003,8.2003,8.2003,8.2003,0
2021-04-07,8.2003,8.2003,8.2003,8.2003,0
2021-04-08,8.2003,8.2003,8.2003,8.2003,0
2021-04-09,8.2003,8.2003,8.2003,8.2003,0
2021-04-12,8.2003,8.2003,8.2003,8.2003,0
2021-04-13,8.2003,8.2003,8.2003,8.2003,0
2021-04-14,8.2003,8.2003,8.2003,8.2003,0
2021-04-15,8.2003,8.2003,8.2003,8.2003,0
2021-04-16,8.2003,8.2003,8.2003,8.2003,0
2021-04-19,8.2003,8.2003,8.2003,8.2003,0
2021-04-20,8.2003,8.2003,8.2003,8.2003,0
2021-04-22,8.2003,8.2003,8.2003,8.2003,0
2021-04-23,8.2003,8.2003,8.2003,8.2003,0
2021-04-26,8.2003,8.2003,8.2003,8.2003,0
2021-04-27,8.2003,8.2003,8.2003,8.2003,0
2021-04-28,8.2003,8.2003,8.2003,8.2003,0
2021-04-29,8.2003,8.2003,8.2003,8.2003,0
2021-05-04,8.2003,8.2003,8.2003,8.2003,0
2021-05-05,8.2003,8.2003,8.2003,8.2003,0
2021-05-06,8.2003,8.2003,8.2003,8.2003,0
2021-05-07,8.2003,8.2003,8.2003,8.2003,0
2021-05-10,8.2003,8.2003,8.2003,8.2003,0
2021-05-11,8.2003,8.2003,8.2003,8.2003,0
2021-05-12,8.2003,8.2003,8.2003,8.2003,0
2021-05-13,8.2003,8.2003,8.2003,8.2003,0
2021-05-14,8.2003,8.2003,8.2003,8.2003,0
2021-05-17,8.2003,8.2003,8.2003,8.2003,0
2021-05-18,8.2003,8.2003,8.2003,8.2003,0
2021-05-19,8.2003,8.2003,8.2003,8.2003,0
2021-05-20,8.2003,8.2003,8.2003,8.2003,0
2021-05-21,8.2003,8.2003,8.2003,8.2003,0
2021-05-24,8.2003,8.2003,8.2003,8.2003,0
2021-05-25,8.2003,8.2003,8.2003,8.2003,0
2021-05-26,8.2003,8.2003,8.2003,8.2003,0
2021-05-27,8.2003,8.2003,8.2003,8.2003,0
2021-05-28,8.2003,8.2003,8.2003,8.2003,0
2021-05-31,8.2003,8.2003,8.2003,8.2003,0
2021-06-01,8.2003,8.2003,8.2003,8.2003,0
2021-06-02,8.2003,8.2003,8.2003,8.2003,0
2021-06-03,8.2003,8.2003,8.2003,8.2003,0
2021-06-04,8.2003,8.2003,8.2003,8.2003,0
2021-06-07,8.2003,8.2003,8.2003,8.2003,0
2021-06-08,8.2003,8.2003,8.2003,8.2003,0
2021-06-09,8.2003,8.2003,8.2003,8.2003,0
2021-06-10,8.2003,8.2003,8.2003,8.2003,0
2021-06-11,8.2003,8.2003,8.2003,8.2003,0
2021-06-14,8.2003,8.2003,8.2003,8.2003,0
2021-06-15,8.2003,8.2003,8.2003,8.2003,0
2021-06-16,8.2003,8.2003,8.2003,8.2003,0
2021-06-17,8.2003,8.2003,8.2003,8.2003,0
2021-06-18,8.2003,8.2003,8.2003,8.2003,0
2021-06-21,8.2003,8.2003,8.2003,8.2003,0
2021-06-22,8.2003,8.2003,8.2003,8.2003,0
2021-06-23,8.2,8.2,8.2,8.2,0
2021-06-24,8.2,8.2,8.2,8.2,0
2021-06-25,8.2,8.2,8.2,8.2,0
2021-06-28,8.2,8.2,8.2,8.2,0
2021-06-29,8.2,8.2,8.2,8.2,0
2021-06-30,8.2,8.2,8.2,8.2,0
2021-07-01,8.2,8.2,8.2,8.2,0
2021-07-02,8.2,8.2,8.2,8.2,0
2021-07-05,8.2,8.2,8.2,8.2,0
2021-07-06,8.2,8.2,8.2,8.2,0
2021-07-07,8.2,8.2,8.2,8.2,0
2021-07-08,8.2,8.2,8.2,8.2,0
2021-07-09,8.2,8.2,8.2,8.2,0
2021-07-12,8.2,8.2,8.2,8.2,0
2021-07-13,8.2,8.2,8.2,8.2,0
2021-07-14,8.2,8.2,8.2,8.2,0
2021-07-15,8.2,8.2,8.2,8.2,0
