Date,Open,High,Low,Close,Volume
2019-01-14,22.8477,22.8477,22.8477,22.8477,0
2019-01-15,22.8477,22.8477,22.8477,22.8477,0
2019-01-16,22.8477,22.8477,22.8477,22.8477,0
2019-01-17,22.8477,22.8477,22.8477,22.8477,0
2019-01-18,22.8477,22.8477,22.8477,22.8477,0
2019-01-21,22.8477,22.8477,22.8477,22.8477,0
2019-01-22,22.8477,22.8477,22.8477,22.8477,0
2019-01-23,22.8477,22.8477,22.8477,22.8477,0
2019-01-24,22.8477,22.8477,22.8477,22.8477,0
2019-01-25,22.8477,22.8477,22.8477,22.8477,0
2019-01-28,22.8477,22.8477,22.8477,22.8477,0
2019-01-29,22.8477,22.8477,22.8477,22.8477,0
2019-01-30,22.8477,22.8477,22.8477,22.8477,0
2019-01-31,22.8477,22.8477,22.8477,22.8477,0
2019-02-01,22.8477,22.8477,22.8477,22.8477,0
2019-02-11,22.8477,22.8477,22.8477,22.8477,0
2019-02-12,22.8477,22.8477,22.8477,22.8477,0
2019-02-13,22.8477,22.8477,22.8477,22.8477,0
2019-02-14,22.8477,22.8477,22.8477,22.8477,0
2019-02-15,22.8477,22.8477,22.8477,22.8477,0
2019-02-18,22.8477,22.8477,22.8477,22.8477,0
2019-02-19,22.8477,22.8477,22.8477,22.8477,0
2019-02-20,22.8477,22.8477,22.8477,22.8477,0
2019-02-21,22.8477,22.8477,22.8477,22.8477,0
2019-02-22,22.8477,22.8477,22.8477,22.8477,0
2019-02-25,22.8477,22.8477,22.8477,22.8477,0
2019-02-26,22.8477,22.8477,22.8477,22.8477,0
2019-02-27,22.8477,22.8477,22.8477,22.8477,0
2019-02-28,22.8477,22.8477,22.8477,22.8477,0
2019-03-01,22.8477,22.8477,22.8477,22.8477,0
2019-03-04,22.8477,22.8477,22.8477,22.8477,0
2019-03-05,22.8477,22.8477,22.8477,22.8477,0
2019-03-06,22.8477,22.8477,22.8477,22.8477,0
2019-03-07,22.8477,22.8477,22.8477,22.8477,0
2019-03-08,22.8477,22.8477,22.8477,22.8477,0
2019-03-11,22.8477,22.8477,22.8477,22.8477,0
2019-03-12,22.8477,22.8477,22.8477,22.8477,0
2019-03-13,22.8477,22.8477,22.8477,22.8477,0
2019-03-14,22.8477,22.8477,22.8477,22.8477,0
2019-03-15,22.8477,22.8477,22.8477,22.8477,0
2019-03-18,22.8477,22.8477,22.8477,22.8477,0
2019-03-19,22.8477,22.8477,22.8477,22.8477,0
2019-03-20,22.8477,22.8477,22.8477,22.8477,0
2019-03-21,22.8477,22.8477,22.8477,22.8477,0
2019-03-22,22.8477,22.8477,22.8477,22.8477,0
2019-03-25,22.8477,22.8477,22.8477,22.8477,0
2019-03-26,22.8477,22.8477,22.8477,22.8477,0
2019-03-27,22.8477,22.8477,22.8477,22.8477,0
2019-03-28,22.8477,22.8477,22.8477,22.8477,0
2019-03-29,22.8477,22.8477,22.8477,22.8477,0
2019-04-01,22.8477,22.8477,22.8477,22.8477,0
2019-04-02,22.8477,22.8477,22.8477,22.8477,0
2019-04-03,22.8477,22.8477,22.8477,22.8477,0
2019-04-04,22.8477,22.8477,22.8477,22.8477,0
2019-04-05,22.8477,22.8477,22.8477,22.8477,0
2019-04-08,22.8477,22.8477,22.8477,22.8477,0
2019-04-09,22.8477,22.8477,22.8477,22.8477,0
2019-04-10,22.8477,22.8477,22.8477,22.8477,0
2019-04-11,22.8477,22.8477,22.8477,22.8477,0
2019-04-12,22.8477,22.8477,22.8477,22.8477,0
2019-04-16,22.8477,22.8477,22.8477,22.8477,0
2019-04-17,22.8477,22.8477,22.8477,22.8477,0
2019-04-18,22.8477,22.8477,22.8477,22.8477,0
2019-04-19,22.8477,22.8477,22.8477,22.8477,0
2019-04-22,22.8477,22.8477,22.8477,22.8477,0
2019-04-23,22.8477,22.8477,22.8477,22.8477,0
2019-04-24,22.8477,22.8477,22.8477,22.8477,0
2019-04-25,22.8477,22.8477,22.8477,22.8477,0
2019-04-26,22.8477,22.8477,22.8477,22.8477,0
2019-05-02,22.8477,22.8477,22.8477,22.8477,0
2019-05-03,22.8477,22.8477,22.8477,22.8477,0
2019-05-06,22.8477,22.8477,22.8477,22.8477,0
2019-05-07,22.8477,22.8477,22.8477,22.8477,0
2019-05-08,22.8477,22.8477,22.8477,22.8477,0
2019-05-09,22.8477,22.8477,22.8477,22.8477,0
2019-05-10,22.8477,22.8477,22.8477,22.8477,0
2019-05-13,22.8477,22.8477,22.8477,22.8477,0
2019-05-14,22.8477,22.8477,22.8477,22.8477,0
2019-05-15,22.8477,22.8477,22.8477,22.8477,0
2019-05-16,22.8477,22.8477,22.8477,22.8477,0
2019-05-17,22.8477,22.8477,22.8477,22.8477,0
2019-05-20,22.8477,22.8477,22.8477,22.8477,0
2019-05-21,22.8477,22.8477,22.8477,22.8477,0
2019-05-22,22.8477,22.8477,22.8477,22.8477,0
2019-05-23,22.8477,22.8477,22.8477,22.8477,0
2019-05-24,22.8477,22.8477,22.8477,22.8477,0
2019-05-27,22.8477,22.8477,22.8477,22.8477,0
2019-05-28,22.8477,22.8477,22.8477,22.8477,0
2019-05-29,22.8477,22.8477,22.8477,22.8477,0
2019-05-30,22.8477,22.8477,22.8477,22.8477,0
2019-05-31,22.8477,22.8477,22.8477,22.8477,0
2019-06-03,22.8477,22.8477,22.8477,22.8477,0
2019-06-04,22.8477,22.8477,22.8477,22.8477,0
2019-06-05,22.8477,22.8477,22.8477,22.8477,0
2019-06-06,22.8477,22.8477,22.8477,22.8477,0
2019-06-07,22.8477,22.8477,22.8477,22.8477,0
2019-06-10,22.8477,22.8477,22.8477,22.8477,0
2019-06-11,22.8477,22.8477,22.8477,22.8477,0
2019-06-12,22.8477,22.8477,22.8477,22.8477,0
2019-06-13,22.8477,22.8477,22.8477,22.8477,0
2019-06-14,22.8477,22.8477,22.8477,22.8477,0
2019-06-17,22.8477,22.8477,22.8477,22.8477,0
2019-06-18,22.8477,22.8477,22.8477,22.8477,0
2019-06-19,22.8477,22.8477,22.8477,22.8477,0
2019-06-20,22.8477,22.8477,22.8477,22.8477,0
2019-06-21,22.8477,22.8477,22.8477,22.8477,0
2019-06-24,22.8477,22.8477,22.8477,22.8477,0
2019-06-25,22.8477,22.8477,22.8477,22.8477,0
2019-06-26,22.8477,22.8477,22.8477,22.8477,0
2019-06-27,22.8477,22.8477,22.8477,22.8477,0
2019-06-28,22.8477,22.8477,22.8477,22.8477,0
2019-07-01,22.8477,22.8477,22.8477,22.8477,0
2019-07-02,22.8477,22.8477,22.8477,22.8477,0
2019-07-03,22.8477,22.8477,22.8477,22.8477,0
2019-07-04,22.8477,22.8477,22.8477,22.8477,0
2019-07-05,22.8477,22.8477,22.8477,22.8477,0
2019-07-08,22.8477,22.8477,22.8477,22.8477,0
2019-07-09,22.8477,22.8477,22.8477,22.8477,0
2019-07-10,22.8477,22.8477,22.8477,22.8477,0
2019-07-11,22.8477,22.8477,22.8477,22.8477,0
2019-07-12,22.8477,22.8477,22.8477,22.8477,0
2019-07-15,22.8477,22.8477,22.8471,22.8471,0
2019-07-16,22.8471,22.8471,22.8471,22.8471,0
2019-07-17,22.8471,22.8471,22.8471,22.8471,0
2019-07-18,22.8471,22.8471,22.8471,22.8471,0
2019-07-19,22.8471,22.8471,22.8471,22.8471,0
2019-07-22,22.8471,22.8471,22.8471,22.8471,0
2019-07-23,22.8471,22.8471,22.8471,22.8471,0
2019-07-24,22.8471,22.8471,22.8471,22.8471,0
2019-07-25,22.8471,22.8471,22.8471,22.8471,0
2019-07-26,22.8471,22.8471,22.8471,22.8471,0
2019-07-29,22.8471,22.8471,22.8471,22.8471,0
2019-07-30,22.8471,22.8471,22.8471,22.8471,0
2019-07-31,22.8471,22.8471,22.8471,22.8471,0
2019-08-01,22.8471,22.8471,22.8471,22.8471,0
2019-08-02,22.8471,22.8471,22.8471,22.8471,0
2019-08-05,22.8471,22.8471,22.8471,22.8471,0
2019-08-06,22.8471,22.8471,22.8471,22.8471,0
2019-08-07,22.8471,22.8471,22.8471,22.8471,0
2019-08-08,22.8471,22.8471,22.8471,22.8471,0
2019-08-09,22.8471,22.8471,22.8471,22.8471,0
2019-08-12,22.8471,22.8471,22.8471,22.8471,0
2019-08-13,22.8471,22.8471,22.8471,22.8471,0
2019-08-14,22.8471,22.8471,22.8471,22.8471,0
2019-08-15,22.8471,22.8471,22.8471,22.8471,0
2019-08-16,22.8471,22.8471,22.8471,22.8471,0
2019-08-19,22.8471,22.8471,22.8471,22.8471,0
2019-08-20,22.8471,22.8471,22.8471,22.8471,0
2019-08-21,22.8471,22.8471,22.8471,22.8471,0
2019-08-22,22.8471,22.8471,22.8471,22.8471,0
2019-08-23,22.8471,22.8471,22.8471,22.8471,0
2019-08-26,22.8471,22.8471,22.8471,22.8471,0
2019-08-27,22.8471,22.8471,22.8471,22.8471,0
2019-08-28,22.8471,22.8471,22.8471,22.8471,0
2019-08-29,22.8471,22.8471,22.8471,22.8471,0
2019-08-30,22.8471,22.8471,22.8471,22.8471,0
2019-09-03,22.8471,22.8471,22.8471,22.8471,0
2019-09-04,22.8471,22.8471,22.8471,22.8471,0
2019-09-05,22.8471,22.8471,22.8471,22.8471,0
2019-09-06,22.8471,22.8471,22.8471,22.8471,0
2019-09-09,22.8471,22.8471,22.8471,22.8471,0
2019-09-10,22.8471,22.8471,22.8471,22.8471,0
2019-09-11,22.8471,22.8471,22.8471,22.8471,0
2019-09-12,22.8471,22.8471,22.8471,22.8471,0
2019-09-13,22.8471,22.8471,22.8471,22.8471,0
2019-09-16,22.8471,22.8471,22.8471,22.8471,0
2019-09-17,22.8471,22.8471,22.8471,22.8471,0
2019-09-18,22.8471,22.8471,22.8471,22.8471,0
2019-09-19,22.8471,22.8471,22.8471,22.8471,0
2019-09-20,22.8471,22.8471,22.8471,22.8471,0
2019-09-23,22.8471,22.8471,22.8471,22.8471,0
2019-09-24,22.8471,22.8471,22.8471,22.8471,0
2019-09-25,22.8471,22.8471,22.8471,22.8471,0
2019-09-26,22.8471,22.8471,22.8471,22.8471,0
2019-09-27,22.8471,22.8471,22.8471,22.8471,0
2019-09-30,22.8471,22.8471,22.8471,22.8471,0
2019-10-01,22.8471,22.8471,22.8471,22.8471,0
2019-10-02,22.8471,22.8471,22.8471,22.8471,0
2019-10-03,22.8471,22.8471,22.8471,22.8471,0
2019-10-04,22.8471,22.8471,22.8471,22.8471,0
2019-10-07,22.8471,22.8471,22.8471,22.8471,0
2019-10-08,22.8471,22.8471,22.8471,22.8471,0
2019-10-09,22.8471,22.8471,22.8471,22.8471,0
2019-10-10,22.8471,22.8471,22.8471,22.8471,0
2019-10-11,22.8471,22.8471,22.8471,22.8471,0
2019-10-14,22.8471,22.8471,22.8471,22.8471,0
2019-10-15,22.8471,22.8471,22.8471,22.8471,0
2019-10-16,22.8471,22.8471,22.8471,22.8471,0
2019-10-17,22.8471,22.8471,22.8471,22.8471,0
2019-10-18,22.8471,22.8471,22.8471,22.8471,0
2019-10-21,22.8471,22.8471,22.8471,22.8471,0
2019-10-22,22.8471,22.8471,22.8471,22.8471,0
2019-10-23,22.8471,22.8471,22.8471,22.8471,0
2019-10-24,22.8471,22.8471,22.8471,22.8471,0
2019-10-25,22.8471,22.8471,22.8471,22.8471,0
2019-10-28,22.8471,22.8471,22.8471,22.8471,0
2019-10-29,22.8471,22.8471,22.8471,22.8471,0
2019-10-30,22.8471,22.8471,22.8471,22.8471,0
2019-10-31,22.8471,22.8471,22.8471,22.8471,0
2019-11-01,22.8471,22.8471,22.8471,22.8471,0
2019-11-04,22.8471,22.8471,22.8471,22.8471,0
2019-11-05,22.8471,22.8471,22.8471,22.8471,0
2019-11-06,22.8471,22.8471,22.8471,22.8471,0
2019-11-07,22.8471,22.8471,22.8471,22.8471,0
2019-11-08,22.8471,22.8471,22.8471,22.8471,0
2019-11-11,22.8471,22.8471,22.8471,22.8471,0
2019-11-12,22.8471,22.8471,22.8471,22.8471,0
2019-11-13,22.8471,22.8471,22.8471,22.8471,0
2019-11-14,22.8471,22.8471,22.8471,22.8471,0
2019-11-15,22.8471,22.8471,22.8471,22.8471,0
2019-11-18,22.8471,22.8471,22.8471,22.8471,0
2019-11-19,22.8471,22.8471,22.8471,22.8471,0
2019-11-20,22.8471,22.8471,22.8471,22.8471,0
2019-11-21,22.8471,22.8471,22.8471,22.8471,0
2019-11-22,22.8471,22.8471,22.8471,22.8471,0
2019-11-25,22.8471,22.8471,22.8471,22.8471,0
2019-11-26,22.8471,22.8471,22.8471,22.8471,0
2019-11-27,22.8471,22.8471,22.8471,22.8471,0
2019-11-28,22.8471,22.8471,22.8471,22.8471,0
2019-11-29,22.8471,22.8471,22.8471,22.8471,0
2019-12-02,22.8471,22.8471,22.8471,22.8471,0
2019-12-03,22.8471,22.8471,22.8471,22.8471,0
2019-12-04,22.8471,22.8471,22.8471,22.8471,0
2019-12-05,22.8471,22.8471,22.8471,22.8471,0
2019-12-06,22.8471,22.8471,22.8471,22.8471,0
2019-12-09,22.8471,22.8471,22.8471,22.8471,0
2019-12-10,22.8471,22.8471,22.8471,22.8471,0
2019-12-11,22.8471,22.8471,22.8471,22.8471,0
2019-12-12,22.8471,22.8471,22.8471,22.8471,0
2019-12-13,22.8471,22.8471,22.8471,22.8471,0
2019-12-16,22.8471,22.8471,22.8471,22.8471,0
2019-12-17,22.8471,22.8471,22.8471,22.8471,0
2019-12-18,22.8471,22.8471,22.8471,22.8471,0
2019-12-19,22.8471,22.8471,22.8471,22.8471,0
2019-12-20,22.8471,22.8471,22.8471,22.8471,0
2019-12-23,22.8471,22.8471,22.8471,22.8471,0
2019-12-24,22.8471,22.8471,22.8471,22.8471,0
2019-12-25,22.8471,22.8471,22.8471,22.8471,0
2019-12-26,22.8471,22.8471,22.8471,22.8471,0
2019-12-27,22.8471,22.8471,22.8471,22.8471,0
2019-12-30,22.8471,22.8471,22.8471,22.8471,0
2019-12-31,22.8471,22.8471,22.8471,22.8471,0
2020-01-02,22.8471,22.8471,22.8471,22.8471,0
2020-01-03,22.8471,22.8471,22.8471,22.8471,0
2020-01-06,22.8471,22.8471,22.8471,22.8471,0
2020-01-07,22.8471,22.8471,22.8471,22.8471,0
2020-01-08,22.8471,22.8471,22.8471,22.8471,0
2020-01-09,22.8471,22.8471,22.8471,22.8471,0
2020-01-10,22.8471,22.8471,22.8471,22.8471,0
2020-01-13,22.8471,22.8471,22.8471,22.8471,0
2020-01-14,22.8471,22.8471,22.8471,22.8471,0
2020-01-15,22.8471,22.8471,22.8471,22.8471,0
2020-01-16,22.8471,22.8471,22.8471,22.8471,0
2020-01-17,22.8471,22.8471,22.8471,22.8471,0
2020-01-20,22.8471,22.8471,22.8471,22.8471,0
2020-01-21,22.8471,22.8471,22.8471,22.8471,0
2020-01-22,22.8471,22.8471,22.8471,22.8471,0
2020-01-30,22.8471,22.8471,22.8471,22.8471,0
2020-01-31,22.8471,22.8471,22.8471,22.8471,0
2020-02-03,22.8471,22.8471,22.8471,22.8471,0
2020-02-04,22.8471,22.8471,22.8471,22.8471,0
2020-02-05,22.8471,22.8471,22.8471,22.8471,0
2020-02-06,22.8471,22.8471,22.8471,22.8471,0
2020-02-07,22.8471,22.8471,22.8471,22.8471,0
2020-02-10,22.8471,22.8471,22.8471,22.8471,0
2020-02-11,22.8471,22.8471,22.8471,22.8471,0
2020-02-12,22.8471,22.8471,22.8471,22.8471,0
2020-02-13,22.8471,22.8471,22.8471,22.8471,0
2020-02-14,22.8471,22.8471,22.8471,22.8471,0
2020-02-17,22.8471,22.8471,22.8471,22.8471,0
2020-02-18,22.8471,22.8471,22.8471,22.8471,0
2020-02-19,22.8471,22.8471,22.8471,22.8471,0
2020-02-20,22.8471,22.8471,22.8471,22.8471,0
2020-02-21,22.8471,22.8471,22.8471,22.8471,0
2020-02-24,22.8471,22.8471,22.8471,22.8471,0
2020-02-25,22.8471,22.8471,22.8471,22.8471,0
2020-02-26,22.8471,22.8471,22.8471,22.8471,0
2020-02-27,22.8471,22.8471,22.8471,22.8471,0
2020-02-28,22.8471,22.8471,22.8471,22.8471,0
2020-03-02,22.8471,22.8471,22.8471,22.8471,0
2020-03-03,22.8471,22.8471,22.8471,22.8471,0
2020-03-04,22.8471,22.8471,22.8471,22.8471,0
2020-03-05,22.8471,22.8471,22.8471,22.8471,0
2020-03-06,22.8471,22.8471,22.8471,22.8471,0
2020-03-09,22.8471,22.8471,22.8471,22.8471,0
2020-03-10,22.8471,22.8471,22.8471,22.8471,0
2020-03-11,22.8471,22.8471,22.8471,22.8471,0
2020-03-12,22.8471,22.8471,22.8471,22.8471,0
2020-03-13,22.8471,22.8471,22.8471,22.8471,0
2020-03-16,22.8471,22.8471,22.8471,22.8471,0
2020-03-17,22.8471,22.8471,22.8471,22.8471,0
2020-03-18,22.8471,22.8471,22.8471,22.8471,0
2020-03-19,22.8471,22.8471,22.8471,22.8471,0
2020-03-20,22.8471,22.8471,22.8471,22.8471,0
2020-03-23,22.8471,22.8471,22.8471,22.8471,0
2020-03-24,22.8471,22.8471,22.8471,22.8471,0
2020-03-25,22.8471,22.8471,22.8471,22.8471,0
2020-03-26,22.8471,22.8471,22.8471,22.8471,0
2020-03-27,22.8471,22.8471,22.8471,22.8471,0
2020-03-30,22.8471,22.8471,22.8471,22.8471,0
2020-03-31,22.8471,22.8471,22.8471,22.8471,0
2020-04-01,22.8471,22.8471,22.8471,22.8471,0
2020-04-03,22.8471,22.8471,22.8471,22.8471,0
2020-04-06,22.8471,22.8471,22.8471,22.8471,0
2020-04-07,22.8471,22.8471,22.8471,22.8471,0
2020-04-08,22.8471,22.8471,22.8471,22.8471,0
2020-04-09,22.8471,22.8471,22.8471,22.8471,0
2020-04-10,22.8471,22.8471,22.8471,22.8471,0
2020-04-13,22.8471,22.8471,22.8471,22.8471,0
2020-04-14,22.8471,22.8471,22.8471,22.8471,0
2020-04-15,22.8471,22.8471,22.8471,22.8471,0
2020-04-16,22.8471,22.8471,22.8471,22.8471,0
2020-04-17,22.8471,22.8471,22.8471,22.8471,0
2020-04-20,22.8471,22.8471,22.8471,22.8471,0
2020-04-21,22.8471,22.8471,22.8471,22.8471,0
2020-04-22,22.8471,22.8471,22.8471,22.8471,0
2020-04-23,22.8471,22.8471,22.8471,22.8471,0
2020-04-24,22.8471,22.8471,22.8471,22.8471,0
2020-04-27,22.8471,22.8471,22.8471,22.8471,0
2020-04-28,22.8471,22.8471,22.8471,22.8471,0
2020-04-29,22.8471,22.8471,22.8471,22.8471,0
2020-05-04,22.8471,22.8471,22.8471,22.8471,0
2020-05-05,22.8471,22.8471,22.8471,22.8471,0
2020-05-06,22.8471,22.8471,22.8471,22.8471,0
2020-05-07,22.8471,22.8471,22.8471,22.8471,0
2020-05-08,22.8471,22.8471,22.8471,22.8471,0
2020-05-11,22.8471,22.8471,22.8471,22.8471,0
2020-05-12,22.8471,22.8471,22.8471,22.8471,0
2020-05-13,22.8471,22.8471,22.8471,22.8471,0
2020-05-14,22.8471,22.8471,22.8471,22.8471,0
2020-05-15,22.8471,22.8471,22.8471,22.8471,0
2020-05-18,22.8471,22.8471,22.8471,22.8471,0
2020-05-19,22.8471,22.8471,22.8471,22.8471,0
2020-05-20,22.8471,22.8471,22.8471,22.8471,0
2020-05-21,22.8471,22.8471,22.8471,22.8471,0
2020-05-22,22.8471,22.8471,22.8471,22.8471,0
2020-05-25,22.8471,22.8471,22.8471,22.8471,0
2020-05-26,22.8471,22.8471,22.8471,22.8471,0
2020-05-27,22.8471,22.8471,22.8471,22.8471,0
2020-05-28,22.8471,22.8471,22.8471,22.8471,0
2020-05-29,18.4997,18.4997,18.4997,18.4997,1600
2020-06-01,18.4997,18.4997,18.4997,18.4997,70
2020-06-02,18.4997,18.4997,18.4997,18.4997,0
2020-06-03,18.4997,18.4997,18.4997,18.4997,0
2020-06-04,18.4997,18.4997,18.4997,18.4997,0
2020-06-05,18.4997,18.4997,18.4997,18.4997,0
2020-06-08,18.4997,18.4997,18.4997,18.4997,0
2020-06-09,18.4997,18.4997,18.4997,18.4997,0
2020-06-10,18.4997,18.4997,18.4997,18.4997,0
2020-06-11,18.4997,18.4997,18.4997,18.4997,0
2020-06-12,18.4997,18.4997,18.4997,18.4997,0
2020-06-15,18.4997,18.4997,18.4997,18.4997,0
2020-06-16,18.4997,18.4997,18.4997,18.4997,0
2020-06-17,18.4997,18.4997,18.4997,18.4997,0
2020-06-18,18.4997,18.4997,18.4997,18.4997,0
2020-06-19,18.4997,18.4997,18.4997,18.4997,0
2020-06-22,18.4997,18.4997,18.4997,18.4997,0
2020-06-23,18.4997,18.4997,18.4997,18.4997,0
2020-06-24,18.4997,18.4997,18.4997,18.4997,0
2020-06-25,18.4997,18.4997,18.4997,18.4997,0
2020-06-26,18.4997,18.4997,18.4997,18.4997,0
2020-06-29,18.4997,18.4997,18.4997,18.4997,0
2020-06-30,18.4997,18.4997,18.4997,18.4997,0
2020-07-01,18.4997,18.4997,18.4997,18.4997,0
2020-07-02,18.4997,18.4997,18.4997,18.4997,0
2020-07-03,18.4997,18.4997,18.4997,18.4997,0
2020-07-06,18.4997,18.4997,18.4997,18.4997,0
2020-07-07,18.4997,18.4997,18.4997,18.4997,0
2020-07-08,18.4997,18.4997,18.4997,18.4997,0
2020-07-09,18.4997,18.4997,18.4997,18.4997,0
2020-07-10,18.4997,18.4997,18.4997,18.4997,0
2020-07-13,18.4997,18.4997,18.4997,18.4997,0
2020-07-14,18.5,18.5,18.5,18.5,0
2020-07-15,18.5,18.5,18.5,18.5,0
2020-07-16,18.5,18.5,18.5,18.5,0
2020-07-17,18.5,18.5,18.5,18.5,0
2020-07-20,18.5,18.5,18.5,18.5,0
2020-07-21,18.5,18.5,18.5,18.5,0
2020-07-22,18.5,18.5,18.5,18.5,0
2020-07-23,18.5,18.5,18.5,18.5,0
2020-07-24,18.5,18.5,18.5,18.5,0
2020-07-27,18.5,18.5,18.5,18.5,0
2020-07-28,18.5,18.5,18.5,18.5,0
2020-07-29,18.5,18.5,18.5,18.5,0
2020-07-30,18.5,18.5,18.5,18.5,0
2020-07-31,18.5,18.5,18.5,18.5,0
2020-08-03,18.5,18.5,18.5,18.5,0
2020-08-04,18.5,18.5,18.5,18.5,0
2020-08-05,18.5,18.5,18.5,18.5,0
2020-08-06,18.5,18.5,18.5,18.5,0
2020-08-07,18.5,18.5,18.5,18.5,0
2020-08-10,18.5,18.5,18.5,18.5,0
2020-08-11,18.5,18.5,18.5,18.5,0
2020-08-12,18.5,18.5,18.5,18.5,0
2020-08-13,18.5,18.5,18.5,18.5,0
2020-08-14,18.5,18.5,18.5,18.5,0
2020-08-17,18.5,18.5,18.5,18.5,0
2020-08-18,18.5,18.5,18.5,18.5,0
2020-08-19,18.5,18.5,18.5,18.5,0
2020-08-20,18.5,18.5,18.5,18.5,0
2020-08-21,18.5,18.5,18.5,18.5,0
2020-08-24,18.5,18.5,18.5,18.5,0
2020-08-25,18.5,18.5,18.5,18.5,0
2020-08-26,18.5,18.5,18.5,18.5,0
2020-08-27,18.5,18.5,18.5,18.5,0
2020-08-28,18.5,18.5,18.5,18.5,0
2020-08-31,18.5,18.5,18.5,18.5,0
2020-09-01,18.5,18.5,18.5,18.5,0
2020-09-03,18.5,18.5,18.5,18.5,0
2020-09-04,18.5,18.5,18.5,18.5,0
2020-09-07,18.5,18.5,18.5,18.5,0
2020-09-08,18.5,18.5,18.5,18.5,0
2020-09-09,18.5,18.5,18.5,18.5,0
2020-09-10,18.5,18.5,18.5,18.5,0
2020-09-11,18.5,18.5,18.5,18.5,0
2020-09-14,18.5,18.5,18.5,18.5,0
2020-09-15,18.5,18.5,18.5,18.5,0
2020-09-16,18.5,18.5,18.5,18.5,0
2020-09-17,18.5,18.5,18.5,18.5,0
2020-09-18,18.5,18.5,18.5,18.5,0
2020-09-21,18.5,18.5,18.5,18.5,0
2020-09-22,18.5,18.5,18.5,18.5,0
2020-09-23,18.5,18.5,18.5,18.5,0
2020-09-24,18.5,18.5,18.5,18.5,0
2020-09-25,18.5,18.5,18.5,18.5,0
2020-09-28,18.5,18.5,18.5,18.5,0
2020-09-29,18.5,18.5,18.5,18.5,0
2020-09-30,18.5,18.5,18.5,18.5,0
2020-10-01,18.5,18.5,18.5,18.5,0
2020-10-02,18.5,18.5,18.5,18.5,0
2020-10-05,18.5,18.5,18.5,18.5,0
2020-10-06,18.5,18.5,18.5,18.5,0
2020-10-07,18.5,18.5,18.5,18.5,0
2020-10-08,18.5,18.5,18.5,18.5,0
2020-10-09,18.5,18.5,18.5,18.5,0
2020-10-12,18.5,18.5,18.5,18.5,0
2020-10-13,18.5,18.5,18.5,18.5,0
2020-10-14,18.5,18.5,18.5,18.5,0
2020-10-15,18.5,18.5,18.5,18.5,0
2020-10-16,18.5,18.5,18.5,18.5,0
2020-10-19,18.5,18.5,18.5,18.5,0
2020-10-20,18.5,18.5,18.5,18.5,0
2020-10-21,18.5,18.5,18.5,18.5,0
2020-10-22,18.5,18.5,18.5,18.5,0
2020-10-23,18.5,18.5,18.5,18.5,0
2020-10-26,18.5,18.5,18.5,18.5,0
2020-10-27,18.5,18.5,18.5,18.5,0
2020-10-28,18.5,18.5,18.5,18.5,0
2020-10-29,18.5,18.5,18.5,18.5,0
2020-10-30,18.5,18.5,18.5,18.5,0
2020-11-02,18.5,18.5,18.5,18.5,0
2020-11-03,18.5,18.5,18.5,18.5,0
2020-11-04,18.5,18.5,18.5,18.5,0
2020-11-05,18.5,18.5,18.5,18.5,0
2020-11-06,18.5,18.5,18.5,18.5,0
2020-11-09,18.5,18.5,18.5,18.5,0
2020-11-10,18.5,18.5,18.5,18.5,0
2020-11-11,18.5,18.5,18.5,18.5,0
2020-11-12,18.5,18.5,18.5,18.5,0
2020-11-13,18.5,18.5,18.5,18.5,0
2020-11-16,18.5,18.5,18.5,18.5,0
2020-11-17,18.5,18.5,18.5,18.5,0
2020-11-18,18.5,18.5,18.5,18.5,0
2020-11-19,18.5,18.5,18.5,18.5,0
2020-11-20,18.5,18.5,18.5,18.5,0
2020-11-23,18.5,18.5,18.5,18.5,0
2020-11-24,18.5,18.5,18.5,18.5,0
2020-11-25,18.5,18.5,18.5,18.5,0
2020-11-26,18.5,18.5,18.5,18.5,0
2020-11-27,18.5,18.5,18.5,18.5,0
2020-11-30,18.5,18.5,18.5,18.5,0
2020-12-01,18.5,18.5,18.5,18.5,0
2020-12-02,18.5,18.5,18.5,18.5,0
2020-12-03,18.5,18.5,18.5,18.5,0
2020-12-04,18.5,18.5,18.5,18.5,0
2020-12-07,18.5,18.5,18.5,18.5,0
2020-12-08,18.5,18.5,18.5,18.5,0
2020-12-09,18.5,18.5,18.5,18.5,0
2020-12-10,18.5,18.5,18.5,18.5,0
2020-12-11,18.5,18.5,18.5,18.5,0
2020-12-14,18.5,18.5,18.5,18.5,0
2020-12-15,18.5,18.5,18.5,18.5,0
2020-12-16,18.5,18.5,18.5,18.5,0
2020-12-17,18.5,18.5,18.5,18.5,0
2020-12-18,18.5,18.5,18.5,18.5,0
2020-12-21,18.5,18.5,18.5,18.5,0
2020-12-22,18.5,18.5,18.5,18.5,0
2020-12-23,18.5,18.5,18.5,18.5,0
2020-12-24,18.5,18.5,18.5,18.5,0
2020-12-25,18.5,18.5,18.5,18.5,0
2020-12-28,18.5,18.5,18.5,18.5,0
2020-12-29,18.5,18.5,18.5,18.5,0
2020-12-30,18.5,18.5,18.5,18.5,0
2020-12-31,18.5,18.5,18.5,18.5,0
2021-01-04,18.5,18.5,18.5,18.5,0
2021-01-05,18.5,18.5,18.5,18.5,0
2021-01-06,18.5,18.5,18.5,18.5,0
2021-01-07,18.5,18.5,18.5,18.5,0
2021-01-08,18.5,18.5,18.5,18.5,0
